time (s),voltage (V),,,,,,,
3.11E-07,-0.020502509,,,,,,,
3.12E-07,-0.020100499,,,,,,,
3.14E-07,-0.020502509,,,,,,,
3.15E-07,-0.020904519,,,,,,,
3.16E-07,-0.021306529,,,,,,,
3.18E-07,-0.021306529,,,,,,,
3.19E-07,-0.021708539,,,,,,,
3.20E-07,-0.022110549,,,,,,,
3.21E-07,-0.022110549,,,,,,,
3.23E-07,-0.022512559,,,,,,,
3.24E-07,-0.021708539,,,,,,,
3.25E-07,-0.022110549,,,,,,,
3.26E-07,-0.021708539,,,,,,,
3.28E-07,-0.021306529,,,,,,,
3.29E-07,-0.021306529,,,,,,,
3.30E-07,-0.020502509,,,,,,,
3.31E-07,-0.019296479,,,,,,,
3.33E-07,-0.018894469,,,,,,,
3.34E-07,-0.018492459,,,,,,,
3.35E-07,-0.018090449,,,,,,,
3.36E-07,-0.017286429,,,,,,,
3.38E-07,-0.016884419,,,,,,,
3.39E-07,-0.016482409,,,,,,,
3.40E-07,-0.0160804,,,,,,,
3.41E-07,-0.01527638,,,,,,,
3.43E-07,-0.01407035,,,,,,,
3.44E-07,-0.01326633,,,,,,,
3.45E-07,-0.01326633,,,,,,,
3.46E-07,-0.01246231,,,,,,,
3.48E-07,-0.01165829,,,,,,,
3.49E-07,-0.01085427,,,,,,,
3.50E-07,-0.01045226,,,,,,,
3.51E-07,-0.00964824,,,,,,,
3.53E-07,-0.00964824,,,,,,,
3.54E-07,-0.00924623,,,,,,,
3.55E-07,-0.00884422,,,,,,,
3.56E-07,-0.00844221,,,,,,,
3.58E-07,-0.00844221,,,,,,,
3.59E-07,-0.0080402,,,,,,,
3.60E-07,-0.00763819,,,,,,,
3.61E-07,-0.00763819,,,,,,,
3.63E-07,-0.0080402,,,,,,,
3.64E-07,-0.0080402,,,,,,,
3.65E-07,-0.0080402,,,,,,,
3.66E-07,-0.00844221,,,,,,,
3.68E-07,-0.00844221,,,,,,,
3.69E-07,-0.00844221,,,,,,,
3.70E-07,-0.00884422,,,,,,,
3.71E-07,-0.00884422,,,,,,,
3.73E-07,-0.00844221,,,,,,,
3.74E-07,-0.00844221,,,,,,,
3.75E-07,-0.00884422,,,,,,,
3.76E-07,-0.00924623,,,,,,,
3.78E-07,-0.00884422,,,,,,,
3.79E-07,-0.0080402,,,,,,,
3.80E-07,-0.0080402,,,,,,,
3.81E-07,-0.0080402,,,,,,,
3.83E-07,-0.00763819,,,,,,,
3.84E-07,-0.0080402,,,,,,,
3.85E-07,-0.00763819,,,,,,,
3.86E-07,-0.00763819,,,,,,,
3.88E-07,-0.00723618,,,,,,,
3.89E-07,-0.00603015,,,,,,,
3.90E-07,-0.00321608,,,,,,,
3.91E-07,-0.00080402,,,,,,,
3.93E-07,0,,,,,,,
3.94E-07,0.00080402,,,,,,,
3.95E-07,0.00160804,,,,,,,
3.96E-07,0.00201005,,,,,,,
3.98E-07,0.00120603,,,,,,,
3.99E-07,0.00201005,,,,,,,
4.00E-07,0.00241206,,,,,,,
4.01E-07,0.00241206,,,,,,,
4.03E-07,0.00281407,,,,,,,
4.04E-07,0.00281407,,,,,,,
4.05E-07,0.00241206,,,,,,,
4.06E-07,0.00241206,,,,,,,
4.08E-07,0.00321608,,,,,,,
4.09E-07,0.00281407,,,,,,,
4.10E-07,0.00241206,,,,,,,
4.11E-07,0.00321608,,,,,,,
4.13E-07,0.00321608,,,,,,,
4.14E-07,0.00321608,,,,,,,
4.15E-07,0.00321608,,,,,,,
4.16E-07,0.00361809,,,,,,,
4.18E-07,0.00321608,,,,,,,
4.19E-07,0.00321608,,,,,,,
4.20E-07,0.00361809,,,,,,,
4.21E-07,0.00321608,,,,,,,
4.23E-07,0.00321608,,,,,,,
4.24E-07,0.00321608,,,,,,,
4.25E-07,0.00361809,,,,,,,
4.26E-07,0.00321608,,,,,,,
4.28E-07,0.00281407,,,,,,,
4.29E-07,0.00321608,,,,,,,
4.30E-07,0.00321608,,,,,,,
4.31E-07,0.00361809,,,,,,,
4.33E-07,0.00321608,,,,,,,
4.34E-07,0.00361809,,,,,,,
4.35E-07,0.00281407,,,,,,,
4.36E-07,0.00281407,,,,,,,
4.38E-07,0.00321608,,,,,,,
4.39E-07,0.00361809,,,,,,,
4.40E-07,0.00361809,,,,,,,
4.41E-07,0.0040201,,,,,,,
4.43E-07,0.00361809,,,,,,,
4.44E-07,0.00361809,,,,,,,
4.45E-07,0.00361809,,,,,,,
4.46E-07,0.00361809,,,,,,,
4.48E-07,0.00321608,,,,,,,
4.49E-07,0.00321608,,,,,,,
4.50E-07,0.0040201,,,,,,,
4.51E-07,0.0040201,,,,,,,
4.53E-07,0.00321608,,,,,,,
4.54E-07,0.00361809,,,,,,,
4.55E-07,0.00361809,,,,,,,
4.56E-07,0.00361809,,,,,,,
4.58E-07,0.00361809,,,,,,,
4.59E-07,0.0040201,,,,,,,
4.60E-07,0.0040201,,,,,,,
4.61E-07,0.0040201,,,,,,,
4.63E-07,0.0040201,,,,,,,
4.64E-07,0.00442211,,,,,,,
4.65E-07,0.0040201,,,,,,,
4.66E-07,0.00361809,,,,,,,
4.68E-07,0.00361809,,,,,,,
4.69E-07,0.0040201,,,,,,,
4.70E-07,0.00361809,,,,,,,
4.71E-07,0.0040201,,,,,,,
4.73E-07,0.00442211,,,,,,,
4.74E-07,0.00442211,,,,,,,
4.75E-07,0.00442211,,,,,,,
4.76E-07,0.00442211,,,,,,,
4.78E-07,0.0040201,,,,,,,
4.79E-07,0.0040201,,,,,,,
4.80E-07,0.00442211,,,,,,,
4.81E-07,0.00442211,,,,,,,
4.83E-07,0.00482412,,,,,,,
4.84E-07,0.00482412,,,,,,,
4.85E-07,0.00482412,,,,,,,
4.86E-07,0.00482412,,,,,,,
4.88E-07,0.00522613,,,,,,,
4.89E-07,0.00482412,,,,,,,
4.90E-07,0.00482412,,,,,,,
4.91E-07,0.00482412,,,,,,,
4.93E-07,0.00562814,,,,,,,
4.94E-07,0.00562814,,,,,,,
4.95E-07,0.00562814,,,,,,,
4.96E-07,0.00522613,,,,,,,
4.98E-07,0.00562814,,,,,,,
4.99E-07,0.00562814,,,,,,,
5.00E-07,0.00562814,,,,,,,
5.01E-07,0.00562814,,,,,,,
5.03E-07,0.00603015,,,,,,,
5.04E-07,0.00603015,,,,,,,
5.05E-07,0.00643216,,,,,,,
5.06E-07,0.00643216,,,,,,,
5.08E-07,0.00643216,,,,,,,
5.09E-07,0.00603015,,,,,,,
5.10E-07,0.00643216,,,,,,,
5.11E-07,0.00683417,,,,,,,
5.13E-07,0.00643216,,,,,,,
5.14E-07,0.00683417,,,,,,,
5.15E-07,0.00723618,,,,,,,
5.16E-07,0.00723618,,,,,,,
5.18E-07,0.00723618,,,,,,,
5.19E-07,0.00723618,,,,,,,
5.20E-07,0.00723618,,,,,,,
5.21E-07,0.00683417,,,,,,,
5.23E-07,0.00723618,,,,,,,
5.24E-07,0.00723618,,,,,,,
5.25E-07,0.00643216,,,,,,,
5.26E-07,0.00603015,,,,,,,
5.28E-07,0.00643216,,,,,,,
5.29E-07,0.00603015,,,,,,,
5.30E-07,0.00562814,,,,,,,
5.31E-07,0.00603015,,,,,,,
5.33E-07,0.00603015,,,,,,,
5.34E-07,0.00603015,,,,,,,
5.35E-07,0.00643216,,,,,,,
5.36E-07,0.00643216,,,,,,,
5.38E-07,0.00643216,,,,,,,
5.39E-07,0.00643216,,,,,,,
5.40E-07,0.00723618,,,,,,,
5.41E-07,0.00763819,,,,,,,
5.43E-07,0.00723618,,,,,,,
5.44E-07,0.00763819,,,,,,,
5.45E-07,0.0080402,,,,,,,
5.46E-07,0.00844221,,,,,,,
5.48E-07,0.00884422,,,,,,,
5.49E-07,0.00924623,,,,,,,
5.50E-07,0.00884422,,,,,,,
5.51E-07,0.00924623,,,,,,,
5.53E-07,0.01005025,,,,,,,
5.54E-07,0.01085427,,,,,,,
5.55E-07,0.01045226,,,,,,,
5.56E-07,0.01125628,,,,,,,
5.58E-07,0.01125628,,,,,,,
5.59E-07,0.01165829,,,,,,,
5.60E-07,0.0120603,,,,,,,
5.61E-07,0.01246231,,,,,,,
5.63E-07,0.01286432,,,,,,,
5.64E-07,0.01326633,,,,,,,
5.65E-07,0.01407035,,,,,,,
5.66E-07,0.01487437,,,,,,,
5.68E-07,0.01487437,,,,,,,
5.69E-07,0.01487437,,,,,,,
5.70E-07,0.01567839,,,,,,,
5.71E-07,0.016884419,,,,,,,
5.73E-07,0.017688439,,,,,,,
5.74E-07,0.017286429,,,,,,,
5.75E-07,0.018090449,,,,,,,
5.76E-07,0.018492459,,,,,,,
5.78E-07,0.018492459,,,,,,,
5.79E-07,0.018894469,,,,,,,
5.80E-07,0.019296479,,,,,,,
5.81E-07,0.019698489,,,,,,,
5.83E-07,0.020100499,,,,,,,
5.84E-07,0.020502509,,,,,,,
5.85E-07,0.020502509,,,,,,,
5.86E-07,0.020100499,,,,,,,
5.88E-07,0.020904519,,,,,,,
5.89E-07,0.020502509,,,,,,,
5.90E-07,0.020100499,,,,,,,
5.91E-07,0.020100499,,,,,,,
5.93E-07,0.019698489,,,,,,,
5.94E-07,0.018894469,,,,,,,
5.95E-07,0.018090449,,,,,,,
5.96E-07,0.017688439,,,,,,,
5.98E-07,0.016884419,,,,,,,
5.99E-07,0.016482409,,,,,,,
6.00E-07,0.017286429,,,,,,,
6.01E-07,0.016884419,,,,,,,
6.03E-07,0.016884419,,,,,,,
6.04E-07,0.016884419,,,,,,,
6.05E-07,0.017286429,,,,,,,
6.06E-07,0.017286429,,,,,,,
6.08E-07,0.016884419,,,,,,,
6.09E-07,0.016884419,,,,,,,
6.10E-07,0.016884419,,,,,,,
6.11E-07,0.016482409,,,,,,,
6.13E-07,0.016482409,,,,,,,
6.14E-07,0.017286429,,,,,,,
6.15E-07,0.016482409,,,,,,,
6.16E-07,0.01527638,,,,,,,
6.18E-07,0.01527638,,,,,,,
6.19E-07,0.01487437,,,,,,,
6.20E-07,0.01447236,,,,,,,
6.21E-07,0.01407035,,,,,,,
6.23E-07,0.01326633,,,,,,,
